horizon,end_date,n_obs,ql_har,ql_harx,delta_ql,delta_ql_e4
6m,2019-04-09,8858,0.00029324841871987065,0.0002865442437297139,-6.70417499015676e-06,-0.0670417499015676
6m,2019-05-13,8879,0.0002930300501487173,0.0002862054167250974,-6.824633423619926e-06,-0.06824633423619926
6m,2019-06-12,8900,0.0002929429955922886,0.0002859664387686216,-6.976556823666991e-06,-0.0697655682366699
6m,2019-07-11,8921,0.0002927183574986311,0.00028572253774565614,-6.995819752974957e-06,-0.06995819752974956
6m,2019-08-09,8942,0.00029264273737953246,0.0002855309829608582,-7.111754418674253e-06,-0.07111754418674253
6m,2019-09-10,8963,0.0002924037731206495,0.000285387373542142,-7.016399578507477e-06,-0.07016399578507478
6m,2019-10-09,8984,0.00029214748523582947,0.0002851241038916455,-7.023381344183977e-06,-0.07023381344183977
6m,2019-11-07,9005,0.00029180245788420464,0.0002847438551666808,-7.058602717523838e-06,-0.07058602717523839
6m,2019-12-06,9026,0.00029130544869354126,0.00028430413816551124,-7.001310528030017e-06,-0.07001310528030016
6m,2020-01-09,9047,0.0002908627892910354,0.00028378735792773327,-7.075431363302116e-06,-0.07075431363302116
6m,2020-02-07,9068,0.00029038020297438895,0.00028317398589740365,-7.206217076985292e-06,-0.07206217076985291
6m,2020-03-09,9089,0.00028985647745761854,0.00028265664174195786,-7.199835715660679e-06,-0.0719983571566068
6m,2020-04-07,9110,0.00028948200346411303,0.00028333921223736193,-6.1427912267511065e-06,-0.06142791226751106
6m,2020-05-11,9131,0.00028895578870766057,0.0002827525540603407,-6.203234647319893e-06,-0.062032346473198934
6m,2020-06-10,9152,0.00028841846873548156,0.0002822208756465126,-6.197593088968936e-06,-0.06197593088968936
6m,2020-07-09,9173,0.00028839324972378247,0.0002816343570329667,-6.758892690815791e-06,-0.06758892690815792
6m,2020-08-07,9194,0.0002879019981682876,0.00028113943835003863,-6.762559818248941e-06,-0.06762559818248941
6m,2020-09-08,9215,0.0002874202730476143,0.000280771976007666,-6.648297039948297e-06,-0.06648297039948296
6m,2020-10-07,9236,0.00028714197521271444,0.00028059324901539976,-6.548726197314677e-06,-0.06548726197314676
6m,2020-11-05,9257,0.00028681465699633937,0.00028052858432132494,-6.286072675014431e-06,-0.06286072675014431
6m,2020-12-04,9278,0.0002865526565732384,0.0002805413754214961,-6.011281151742289e-06,-0.06011281151742289
6m,2021-01-07,9299,0.0002865884757008316,0.000280719008080922,-5.869467619909572e-06,-0.05869467619909572
6m,2021-02-05,9320,0.0002865626736324381,0.00028088544543502527,-5.677228197412836e-06,-0.05677228197412836
6m,2021-03-08,9341,0.0002865332810280235,0.0002810829823660098,-5.450298662013683e-06,-0.05450298662013683
6m,2021-04-08,9362,0.0002865555710093994,0.0002812808281690373,-5.274742840362075e-06,-0.052747428403620754
6m,2021-05-10,9383,0.0002865821703004865,0.0002814636478502585,-5.118522450228019e-06,-0.05118522450228019
6m,2021-06-09,9404,0.0002866007549046905,0.00028159229432199906,-5.008460582691429e-06,-0.050084605826914284
6m,2021-07-08,9425,0.00028641925931542633,0.00028154707600458435,-4.872183310841987e-06,-0.04872183310841987
6m,2021-08-06,9446,0.00028632934379225247,0.00028156848154289616,-4.760862249356308e-06,-0.04760862249356308
6m,2021-09-07,9467,0.00028599190101451146,0.00028155100297372213,-4.440898040789334e-06,-0.04440898040789334
